source_group,reference_regime,hardness_axis,conditioning_key,timestep,mean_raw_l2,mean_clean_pair_l2,mean_clean_subject_l2,mean_roundtrip_ratio,n
dreambooth_hard_reference,hard_reference,color_light,class,999,-0.006367465302617109,-0.002481753773624847,-0.002481753773624847,1.81653978494074,160
dreambooth_hard_reference,hard_reference,color_light,class_context,50,0.020653811763966155,-0.01932828127819903,-0.01932828127819903,2.765683514798954,160
dreambooth_hard_reference,hard_reference,color_light,class_context,200,0.018103674228172006,-0.022169229170534342,-0.022169229170534342,5.257301238489827,160
dreambooth_hard_reference,hard_reference,color_light,class_context,500,7.073991463361262e-05,-0.01650243773297183,-0.01650243773297183,1.3216964490906997,160
dreambooth_hard_reference,hard_reference,color_light,class_context,800,-0.00781436680877121,-0.006710394095385518,-0.006710394095385518,3.9698009660628495,160
dreambooth_hard_reference,hard_reference,color_light,class_context,999,-0.007069211883152881,-0.0025634146219978447,-0.0025634146219978447,2.093125481878552,160
dreambooth_hard_reference,hard_reference,color_light,null,50,0.01974099980673976,-0.019328973723386565,-0.019328973723386565,3.1626245339352566,160
dreambooth_hard_reference,hard_reference,color_light,null,200,0.016711076697252334,-0.022077088947383486,-0.022077088947383486,1.5981029160023885,160
dreambooth_hard_reference,hard_reference,color_light,null,500,-0.000746947326642413,-0.01635282847374684,-0.01635282847374684,1.323944191662449,160
dreambooth_hard_reference,hard_reference,color_light,null,800,-0.00976938167362591,-0.007242398072639407,-0.007242398072639407,2.3583294772993324,160
dreambooth_hard_reference,hard_reference,color_light,null,999,-0.007722504926419431,-0.00244453369569952,-0.00244453369569952,2.1220535002363077,160
dreambooth_hard_reference,hard_reference,crop,class,50,0.006673492132587761,-0.03339194419978825,-0.03339194419978825,1.3159575645862767,160
dreambooth_hard_reference,hard_reference,crop,class,200,0.008457411370145905,-0.03184137621138776,-0.03184137621138776,2.1612792399129193,160
dreambooth_hard_reference,hard_reference,crop,class,500,-0.002033656420383137,-0.01852546075666584,-0.01852546075666584,3.1622952322076556,160
dreambooth_hard_reference,hard_reference,crop,class,800,-0.007080961126196758,-0.006270087734456117,-0.006270087734456117,2.911217675383127,160
dreambooth_hard_reference,hard_reference,crop,class,999,-0.006294890644744896,-0.0024091791157526345,-0.0024091791157526345,7.3472701858204985,160
