subject_id,source_group,reference_regime,conditioning_key,mean_raw_l2,mean_clean_pair_l2,mean_clean_subject_l2,mean_roundtrip_ratio,n
vase,base_hard_control,hard_control,class_context,0.011515919177040358,0.045464889138414184,0.045464889138414184,1.88420620362697,200
vase,base_hard_control,hard_control,null,0.009965529036080402,0.044420796275740866,0.044420796275740866,1.9285942879929998,200
vase,dreambooth_hard_reference,hard_reference,class,-0.04588503476945184,-0.012064349868843955,-0.012064349868843955,4.938948553461459,300
vase,dreambooth_hard_reference,hard_reference,class_context,-0.04616185786656327,-0.012212887905189445,-0.012212887905189445,3.048364050864202,300
vase,dreambooth_hard_reference,hard_reference,null,-0.04671531984176928,-0.012260052602108811,-0.012260052602108811,2.922020096307012,300
vase,dreambooth_reference,standard_reference,class,-0.03859287730199605,-0.004772192401388161,-0.004772192401388161,0.9484690970053609,50
vase,dreambooth_reference,standard_reference,class_context,-0.038692530067394676,-0.004743560106020842,-0.004743560106020842,0.9447906446328518,50
vase,dreambooth_reference,standard_reference,null,-0.03923692536036824,-0.004781658120707768,-0.004781658120707768,0.9208089668299464,50
vase,vae_roundtrip_control,roundtrip_control,class,-0.033820684900607884,0.0,0.0,0.9999968517619213,50
vase,vae_roundtrip_control,roundtrip_control,class_context,-0.03394896996137384,0.0,0.0,0.9999985184397869,50
vase,vae_roundtrip_control,roundtrip_control,null,-0.03445526723966047,0.0,0.0,0.9999984187525846,50
