experiment_label,class_name,conditioning_key,timestep,frequency_band,base_generated_control,dreambooth_reference,ordinary_real_control,natural_hard_reference,real_domain_gap,subject_specific_gap,natural_hard_gap
stage15a_class,dog,class,200,high,0.007742818801628937,0.00800422748219064,0.01116518004815992,,0.0034223612465309836,-0.00316095256596928,
stage15a_class,cat,class,200,high,0.008113213037002635,0.00729119156404826,0.010652545249645009,,0.0025393322126423742,-0.0033613536855967487,
stage15a_class,backpack,class,200,mid,0.00821874405318488,0.009474898633114412,0.013210320259009964,,0.004991576205825084,-0.0037354216258955516,
stage15a_class,backpack,class,200,high,0.007427018183049935,0.00859943888064786,0.012515657098678159,,0.005088638915628224,-0.0039162182180302995,
stage15a_class,dog,class,50,mid,0.01670307748257418,0.02062366932044616,0.024773334060100304,,0.008070256577526125,-0.004149664739654144,
stage15a_class,cat,class,50,low,0.019368236499846904,0.022028863788382667,0.02642159846589192,,0.007053361966045016,-0.004392734677509252,
stage15a_class,dog,class,50,high,0.016570466372397095,0.01967523113150799,0.024765655774672317,,0.008195189402275222,-0.005090424643164327,
stage15a_class,backpack,class,50,mid,0.017458079657552562,0.02218815632705001,0.02818141084649271,,0.010723331188940147,-0.005993254519442701,
stage15a_class,cat,class,50,mid,0.0184683228846801,0.019994934066955985,0.027290884758639528,,0.008822561873959429,-0.007295950691683543,
stage15a_class,backpack,class,50,high,0.017228897963914244,0.020999122602557586,0.02895760981065888,,0.011728711846744636,-0.007958487208101293,
stage15a_class,cat,class,50,high,0.0179407869858424,0.017776935970272505,0.026425553955087267,,0.008484766969244866,-0.008648617984814762,
